Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    10279     0.00     0.00  std::vector<rp::Base*, std::allocator<rp::Base*> >::size() const
  0.00      0.00     0.00     4116     0.00     0.00  rp::Base** std::__niter_base<rp::Base**>(rp::Base**)
  0.00      0.00     0.00     4110     0.00     0.00  std::vector<rp::Base*, std::allocator<rp::Base*> >::_M_range_check(unsigned long) const
  0.00      0.00     0.00     4110     0.00     0.00  std::vector<rp::Base*, std::allocator<rp::Base*> >::at(unsigned long)
  0.00      0.00     0.00     4110     0.00     0.00  std::vector<rp::Base*, std::allocator<rp::Base*> >::operator[](unsigned long)
  0.00      0.00     0.00     2753     0.00     0.00  std::_Vector_base<rp::Base*, std::allocator<rp::Base*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00     2744     0.00     0.00  __gnu_cxx::__normal_iterator<rp::Base**, std::vector<rp::Base*, std::allocator<rp::Base*> > >::base() const
  0.00      0.00     0.00     2742     0.00     0.00  __gnu_cxx::__normal_iterator<rp::Base**, std::vector<rp::Base*, std::allocator<rp::Base*> > >::__normal_iterator(rp::Base** const&)
  0.00      0.00     0.00     2740     0.00     0.00  rp::Base*&& std::forward<rp::Base*>(std::remove_reference<rp::Base*>::type&)
  0.00      0.00     0.00     2058     0.00     0.00  __gnu_cxx::new_allocator<rp::Base*>::_M_max_size() const
  0.00      0.00     0.00     2055     0.00     0.00  rp::Base::IsEnabled()
  0.00      0.00     0.00     1377     0.00     0.00  void std::_Destroy_aux<true>::__destroy<rp::Base**>(rp::Base**, rp::Base**)
  0.00      0.00     0.00     1377     0.00     0.00  std::_Vector_base<rp::Base*, std::allocator<rp::Base*> >::_M_deallocate(rp::Base**, unsigned long)
  0.00      0.00     0.00     1377     0.00     0.00  void std::_Destroy<rp::Base**>(rp::Base**, rp::Base**)
  0.00      0.00     0.00     1377     0.00     0.00  void std::_Destroy<rp::Base**, rp::Base*>(rp::Base**, rp::Base**, std::allocator<rp::Base*>&)
  0.00      0.00     0.00     1374     0.00     0.00  std::_Vector_base<rp::Base*, std::allocator<rp::Base*> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00     1372     0.00     0.00  __gnu_cxx::new_allocator<rp::Base*>::max_size() const
  0.00      0.00     0.00     1372     0.00     0.00  std::vector<rp::Base*, std::allocator<rp::Base*> >::max_size() const
  0.00      0.00     0.00     1372     0.00     0.00  std::allocator_traits<std::allocator<rp::Base*> >::max_size(std::allocator<rp::Base*> const&)
  0.00      0.00     0.00     1372     0.00     0.00  std::vector<rp::Base*, std::allocator<rp::Base*> >::_S_max_size(std::allocator<rp::Base*> const&)
  0.00      0.00     0.00     1372     0.00     0.00  std::vector<rp::Base*, std::allocator<rp::Base*> >::_S_relocate(rp::Base**, rp::Base**, rp::Base**, std::allocator<rp::Base*>&)
  0.00      0.00     0.00     1372     0.00     0.00  std::vector<rp::Base*, std::allocator<rp::Base*> >::_S_do_relocate(rp::Base**, rp::Base**, rp::Base**, std::allocator<rp::Base*>&, std::integral_constant<bool, true>)
